Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	ENA_FIRST_PUBLIC	Experiment	HLA_Risk_Class	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	collection_date	data_type	flowcell_barcode	geo_loc_name	host	host_subject_id	instrument_name	lane	lat_lon	library_type	product_order	product_part_number	read_group_id	run_barcode	run_name	sex	source_name	tissue	treatment	work_request
AMPLICON		350	PRJNA231909	SAMN03398835		BI	public	bam run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX951028		350	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Solexa-158155	2015-03-11	11	7	human gut metagenome	ILLUMINA	2015-03-11	SRR1909425	SRS871256	SRP056054	PRJNA231909.3107883		16S	A2RDP				SL-MAL	1		16S	PDO-1124	P-MCV-0002	A2RDP.1	A2RDP130513	130513_SL-MAL_0066_FC000000000-A2RDP					36374
WGS		202	PRJNA231909	SAMN03398835		BI	public	bam run.ga_realign sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX956610		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266105	2015-03-13	393	248	human gut metagenome	ILLUMINA	2015-03-13	SRR1915633	SRS871256	SRP056054	PRJNA231909.3107883		WGS	C2E67ACXX				SL-HED	4		WholeGenomeShotgun	PDO-1770	P-WG-0004	C2E67.4	C2E67ACXX130830	130830_SL-HED_0078_BFCC2E67ACXX					37544
WGS		202	PRJNA231909	SAMN03398835		BI	public	bam run.ga_realign run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX999445		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266105	2015-04-17	416	264	human gut metagenome	ILLUMINA	2015-04-17	SRR1980387	SRS871256	SRP056054	PRJNA231909.3107883		WGS	D2F1CACXX				SL-HEC	7		WholeGenomeShotgun	PDO-1770	P-WG-0004	D2F1C.7	D2F1CACXX130830	130830_SL-HEC_0056_AFCD2F1CACXX					37544
WGS		202	PRJNA231909	SAMN03398835		BI	public	bam run.ga_realign run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX999445		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266105	2015-04-17	426	270	human gut metagenome	ILLUMINA	2015-04-17	SRR1980391	SRS871256	SRP056054	PRJNA231909.3107883		WGS	D2F1CACXX				SL-HEC	6		WholeGenomeShotgun	PDO-1770	P-WG-0004	D2F1C.6	D2F1CACXX130830	130830_SL-HEC_0056_AFCD2F1CACXX					37544
WGS		202	PRJNA231909	SAMN03398835		BI	public	bam run.ga_realign run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX999445		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266105	2015-04-17	419	266	human gut metagenome	ILLUMINA	2015-04-17	SRR1980406	SRS871256	SRP056054	PRJNA231909.3107883		WGS	D2F1CACXX				SL-HEC	8		WholeGenomeShotgun	PDO-1770	P-WG-0004	D2F1C.8	D2F1CACXX130830	130830_SL-HEC_0056_AFCD2F1CACXX					37544
AMPLICON		350	PRJNA231909	SAMN03398836		BI	public	bam sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX951032		350	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Solexa-158057	2015-03-11	22	14	human gut metagenome	ILLUMINA	2015-03-11	SRR1909427	SRS871257	SRP056054	PRJNA231909.3108778		16S	A2RDP				SL-MAL	1		16S	PDO-1124	P-MCV-0002	A2RDP.1	A2RDP130513	130513_SL-MAL_0066_FC000000000-A2RDP					36373
AMPLICON		350	PRJNA231909	SAMN03398837		BI	public	bam sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX951031		350	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Solexa-157318	2015-03-11	16	9	human gut metagenome	ILLUMINA	2015-03-11	SRR1909426	SRS871258	SRP056054	PRJNA231909.3106383		16S	A3L91				SL-MAL	1		16S	PDO-1154	P-MCV-0002	A3L91.1	A3L91130510	130510_SL-MAL_0065_FC000000000-A3L91					36412
AMPLICON		350	PRJNA231909	SAMN03398839		BI	public	bam sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX951084		350	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Solexa-157327	2015-03-11	17	9	human gut metagenome	ILLUMINA	2015-03-11	SRR1909429	SRS871260	SRP056054	PRJNA231909.3112367		16S	A3L91				SL-MAL	1		16S	PDO-1154	P-MCV-0002	A3L91.1	A3L91130510	130510_SL-MAL_0065_FC000000000-A3L91					36412
WGS		202	PRJNA231909	SAMN03398839		BI	public	bam run.ga_realign run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX956563		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266082	2015-03-13	257	162	human gut metagenome	ILLUMINA	2015-03-13	SRR1915586	SRS871260	SRP056054	PRJNA231909.3112367		WGS	C2E67ACXX				SL-HED	4		WholeGenomeShotgun	PDO-1770	P-WG-0004	C2E67.4	C2E67ACXX130830	130830_SL-HED_0078_BFCC2E67ACXX					37544
WGS		202	PRJNA231909	SAMN03398839		BI	public	bam run.ga_realign sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX956863		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266082	2015-03-14	265	172	human gut metagenome	ILLUMINA	2015-03-13	SRR1915907	SRS871260	SRP056054	PRJNA231909.3112367		WGS	C2DWNACXX				SL-HEL	8		WholeGenomeShotgun	PDO-1770	P-WG-0004	C2DWN.8	C2DWNACXX130830	130830_SL-HEL_0088_BFCC2DWNACXX					37544
WGS		202	PRJNA231909	SAMN03398839		BI	public	bam run.ga_realign run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX999425		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266082	2015-04-17	272	172	human gut metagenome	ILLUMINA	2015-04-17	SRR1980311	SRS871260	SRP056054	PRJNA231909.3112367		WGS	D2F1CACXX				SL-HEC	7		WholeGenomeShotgun	PDO-1770	P-WG-0004	D2F1C.7	D2F1CACXX130830	130830_SL-HEC_0056_AFCD2F1CACXX					37544
WGS		202	PRJNA231909	SAMN03398839		BI	public	bam run.ga_realign run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX999425		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266082	2015-04-17	275	174	human gut metagenome	ILLUMINA	2015-04-17	SRR1980334	SRS871260	SRP056054	PRJNA231909.3112367		WGS	D2F1CACXX				SL-HEC	8		WholeGenomeShotgun	PDO-1770	P-WG-0004	D2F1C.8	D2F1CACXX130830	130830_SL-HEC_0056_AFCD2F1CACXX					37544
WGS		202	PRJNA231909	SAMN03398839		BI	public	bam run.ga_realign run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX999425		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266082	2015-04-17	278	176	human gut metagenome	ILLUMINA	2015-04-17	SRR1980405	SRS871260	SRP056054	PRJNA231909.3112367		WGS	D2F1CACXX				SL-HEC	6		WholeGenomeShotgun	PDO-1770	P-WG-0004	D2F1C.6	D2F1CACXX130830	130830_SL-HEC_0056_AFCD2F1CACXX					37544
AMPLICON		350	PRJNA231909	SAMN03398841		BI	public	bam run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX951037		350	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Solexa-158117	2015-03-10	13	8	human gut metagenome	ILLUMINA	2015-03-10	SRR1909376	SRS871262	SRP056054	PRJNA231909.3113662		16S	A2RDP				SL-MAL	1		16S	PDO-1124	P-MCV-0002	A2RDP.1	A2RDP130513	130513_SL-MAL_0066_FC000000000-A2RDP					36374
AMPLICON		350	PRJNA231909	SAMN03398844		BI	public	bam run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX951040		350	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Solexa-157381	2015-03-10	13	7	human gut metagenome	ILLUMINA	2015-03-10	SRR1909378	SRS871265	SRP056054	PRJNA231909.3114788		16S	A3L91				SL-MAL	1		16S	PDO-1154	P-MCV-0002	A3L91.1	A3L91130510	130510_SL-MAL_0065_FC000000000-A3L91					36413
WGS		202	PRJNA231909	SAMN03398847		BI	public	bam run.ga_realign run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX951042		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266098	2015-03-10	282	184	human gut metagenome	ILLUMINA	2015-03-10	SRR1909379	SRS871268	SRP056054	PRJNA231909.3115646		WGS	C2DWNACXX				SL-HEL	8		WholeGenomeShotgun	PDO-1770	P-WG-0004	C2DWN.8	C2DWNACXX130830	130830_SL-HEL_0088_BFCC2DWNACXX					37544
AMPLICON		350	PRJNA231909	SAMN03398847		BI	public	bam sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX952549		350	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Solexa-158420	2015-03-12	47	27	human gut metagenome	ILLUMINA	2015-03-12	SRR1910863	SRS871268	SRP056054	PRJNA231909.3115646		16S	A2G30				SL-MAH	1		16S	PDO-1170	P-MCV-0002	A2G30.1	A2G30130514	130514_SL-MAH_0070_FC000000000-A2G30					36422
WGS		202	PRJNA231909	SAMN03398847		BI	public	bam run.ga_realign run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX957286		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266098	2015-03-16	273	173	human gut metagenome	ILLUMINA	2015-03-16	SRR1916398	SRS871268	SRP056054	PRJNA231909.3115646		WGS	C2E67ACXX				SL-HED	4		WholeGenomeShotgun	PDO-1770	P-WG-0004	C2E67.4	C2E67ACXX130830	130830_SL-HED_0078_BFCC2E67ACXX					37544
WGS		202	PRJNA231909	SAMN03398847		BI	public	bam run.ga_realign sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX999467		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266098	2015-04-17	288	183	human gut metagenome	ILLUMINA	2015-04-17	SRR1980479	SRS871268	SRP056054	PRJNA231909.3115646		WGS	D2F1CACXX				SL-HEC	7		WholeGenomeShotgun	PDO-1770	P-WG-0004	D2F1C.7	D2F1CACXX130830	130830_SL-HEC_0056_AFCD2F1CACXX					37544
WGS		202	PRJNA231909	SAMN03398847		BI	public	bam run.ga_realign sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX999467		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266098	2015-04-17	294	187	human gut metagenome	ILLUMINA	2015-04-17	SRR1980487	SRS871268	SRP056054	PRJNA231909.3115646		WGS	D2F1CACXX				SL-HEC	6		WholeGenomeShotgun	PDO-1770	P-WG-0004	D2F1C.6	D2F1CACXX130830	130830_SL-HEC_0056_AFCD2F1CACXX					37544
WGS		202	PRJNA231909	SAMN03398847		BI	public	bam run.ga_realign run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX999467		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266098	2015-04-17	291	185	human gut metagenome	ILLUMINA	2015-04-17	SRR1980502	SRS871268	SRP056054	PRJNA231909.3115646		WGS	D2F1CACXX				SL-HEC	8		WholeGenomeShotgun	PDO-1770	P-WG-0004	D2F1C.8	D2F1CACXX130830	130830_SL-HEC_0056_AFCD2F1CACXX					37544
WGS		202	PRJNA231909	SAMN03398849		BI	public	bam run.ga_realign run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX951043		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266057	2015-03-10	361	235	human gut metagenome	ILLUMINA	2015-03-10	SRR1909383	SRS871270	SRP056054	PRJNA231909.3107345		WGS	C2DWNACXX				SL-HEL	8		WholeGenomeShotgun	PDO-1770	P-WG-0004	C2DWN.8	C2DWNACXX130830	130830_SL-HEL_0088_BFCC2DWNACXX					37544
AMPLICON		350	PRJNA231909	SAMN03398849		BI	public	bam run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX956884		350	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Solexa-156234	2015-03-14	20	14	human gut metagenome	ILLUMINA	2015-03-14	SRR1915927	SRS871270	SRP056054	PRJNA231909.3107345		16S	A3RE3				SL-MAB	1		16S	PDO-1090	P-MCV-0002	A3RE3.1	A3RE3130430	130430_SL-MAB_0069_FC000000000-A3RE3					36338
WGS		202	PRJNA231909	SAMN03398849		BI	public	bam run.ga_realign run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX957308		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266057	2015-03-16	351	221	human gut metagenome	ILLUMINA	2015-03-16	SRR1916450	SRS871270	SRP056054	PRJNA231909.3107345		WGS	C2E67ACXX				SL-HED	4		WholeGenomeShotgun	PDO-1770	P-WG-0004	C2E67.4	C2E67ACXX130830	130830_SL-HED_0078_BFCC2E67ACXX					37544
WGS		202	PRJNA231909	SAMN03398849		BI	public	bam run.ga_realign run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX999432		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266057	2015-04-17	372	236	human gut metagenome	ILLUMINA	2015-04-17	SRR1980320	SRS871270	SRP056054	PRJNA231909.3107345		WGS	D2F1CACXX				SL-HEC	7		WholeGenomeShotgun	PDO-1770	P-WG-0004	D2F1C.7	D2F1CACXX130830	130830_SL-HEC_0056_AFCD2F1CACXX					37544
WGS		202	PRJNA231909	SAMN03398849		BI	public	bam run.ga_realign run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX999432		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266057	2015-04-17	376	238	human gut metagenome	ILLUMINA	2015-04-17	SRR1980323	SRS871270	SRP056054	PRJNA231909.3107345		WGS	D2F1CACXX				SL-HEC	8		WholeGenomeShotgun	PDO-1770	P-WG-0004	D2F1C.8	D2F1CACXX130830	130830_SL-HEC_0056_AFCD2F1CACXX					37544
WGS		202	PRJNA231909	SAMN03398849		BI	public	bam run.ga_realign run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX999432		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266057	2015-04-17	379	241	human gut metagenome	ILLUMINA	2015-04-17	SRR1980339	SRS871270	SRP056054	PRJNA231909.3107345		WGS	D2F1CACXX				SL-HEC	6		WholeGenomeShotgun	PDO-1770	P-WG-0004	D2F1C.6	D2F1CACXX130830	130830_SL-HEC_0056_AFCD2F1CACXX					37544
AMPLICON		350	PRJNA231909	SAMN03398851		BI	public	bam run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX951048		350	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Solexa-158180	2015-03-10	11	7	human gut metagenome	ILLUMINA	2015-03-10	SRR1909388	SRS871272	SRP056054	PRJNA231909.3107862		16S	A2RDP				SL-MAL	1		16S	PDO-1124	P-MCV-0002	A2RDP.1	A2RDP130513	130513_SL-MAL_0066_FC000000000-A2RDP					36374
WGS		202	PRJNA231909	SAMN03398852		BI	public	bam run.ga_realign run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX951049		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266100	2015-03-10	314	205	human gut metagenome	ILLUMINA	2015-03-10	SRR1909387	SRS871273	SRP056054	PRJNA231909.3103734		WGS	C2DWNACXX				SL-HEL	8		WholeGenomeShotgun	PDO-1770	P-WG-0004	C2DWN.8	C2DWNACXX130830	130830_SL-HEL_0088_BFCC2DWNACXX					37544
AMPLICON		350	PRJNA231909	SAMN03398852		BI	public	bam run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX952333		350	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Solexa-155884	2015-03-12	35	21	human gut metagenome	ILLUMINA	2015-03-12	SRR1910633	SRS871273	SRP056054	PRJNA231909.3103734		16S	A2G7T				SL-MAG	1		16S	PDO-1062	P-MCV-0002	A2G7T.1	A2G7T130425	130425_SL-MAG_0126_FC000000000-A2G7T					36300
WGS		202	PRJNA231909	SAMN03398852		BI	public	bam run.ga_realign run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX956655		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266100	2015-03-13	305	192	human gut metagenome	ILLUMINA	2015-03-13	SRR1915675	SRS871273	SRP056054	PRJNA231909.3103734		WGS	C2E67ACXX				SL-HED	4		WholeGenomeShotgun	PDO-1770	P-WG-0004	C2E67.4	C2E67ACXX130830	130830_SL-HED_0078_BFCC2E67ACXX					37544
WGS		202	PRJNA231909	SAMN03398852		BI	public	bam run.ga_realign run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX999322		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266100	2015-04-17	331	210	human gut metagenome	ILLUMINA	2015-04-17	SRR1980163	SRS871273	SRP056054	PRJNA231909.3103734		WGS	D2F1CACXX				SL-HEC	6		WholeGenomeShotgun	PDO-1770	P-WG-0004	D2F1C.6	D2F1CACXX130830	130830_SL-HEC_0056_AFCD2F1CACXX					37544
WGS		202	PRJNA231909	SAMN03398852		BI	public	bam run.ga_realign sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX999322		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266100	2015-04-17	323	204	human gut metagenome	ILLUMINA	2015-04-17	SRR1980234	SRS871273	SRP056054	PRJNA231909.3103734		WGS	D2F1CACXX				SL-HEC	7		WholeGenomeShotgun	PDO-1770	P-WG-0004	D2F1C.7	D2F1CACXX130830	130830_SL-HEC_0056_AFCD2F1CACXX					37544
WGS		202	PRJNA231909	SAMN03398852		BI	public	bam run.ga_realign run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX999322		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266100	2015-04-17	326	207	human gut metagenome	ILLUMINA	2015-04-17	SRR1980247	SRS871273	SRP056054	PRJNA231909.3103734		WGS	D2F1CACXX				SL-HEC	8		WholeGenomeShotgun	PDO-1770	P-WG-0004	D2F1C.8	D2F1CACXX130830	130830_SL-HEC_0056_AFCD2F1CACXX					37544
AMPLICON		350	PRJNA231909	SAMN03398853		BI	public	bam run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX951050		350	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Solexa-156209	2015-03-10	54	38	human gut metagenome	ILLUMINA	2015-03-10	SRR1909389	SRS871274	SRP056054	PRJNA231909.3109882		16S	A3RE3				SL-MAB	1		16S	PDO-1090	P-MCV-0002	A3RE3.1	A3RE3130430	130430_SL-MAB_0069_FC000000000-A3RE3					36338
AMPLICON		350	PRJNA231909	SAMN03398854		BI	public	bam run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX951051		350	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Solexa-156204	2015-03-10	16	11	human gut metagenome	ILLUMINA	2015-03-10	SRR1909390	SRS871275	SRP056054	PRJNA231909.3113489		16S	A3RE3				SL-MAB	1		16S	PDO-1090	P-MCV-0002	A3RE3.1	A3RE3130430	130430_SL-MAB_0069_FC000000000-A3RE3					36338
AMPLICON		350	PRJNA231909	SAMN03398855		BI	public	bam run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX951052		350	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Solexa-158110	2015-03-10	28	17	human gut metagenome	ILLUMINA	2015-03-10	SRR1909391	SRS871276	SRP056054	PRJNA231909.3109998		16S	A2RDP				SL-MAL	1		16S	PDO-1124	P-MCV-0002	A2RDP.1	A2RDP130513	130513_SL-MAL_0066_FC000000000-A2RDP					36374
AMPLICON		350	PRJNA231909	SAMN03398856		BI	public	bam run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX951054		350	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Solexa-156226	2015-03-10	20	14	human gut metagenome	ILLUMINA	2015-03-10	SRR1909398	SRS871277	SRP056054	PRJNA231909.3112360		16S	A3RE3				SL-MAB	1		16S	PDO-1090	P-MCV-0002	A3RE3.1	A3RE3130430	130430_SL-MAB_0069_FC000000000-A3RE3					36338
WGS		202	PRJNA231909	SAMN03398856		BI	public	bam run.ga_realign sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX956620		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266045	2015-03-13	338	211	human gut metagenome	ILLUMINA	2015-03-13	SRR1915639	SRS871277	SRP056054	PRJNA231909.3112360		WGS	C2E67ACXX				SL-HED	4		WholeGenomeShotgun	PDO-1770	P-WG-0004	C2E67.4	C2E67ACXX130830	130830_SL-HED_0078_BFCC2E67ACXX					37544
WGS		202	PRJNA231909	SAMN03398856		BI	public	bam run.ga_realign run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX956894		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266045	2015-03-14	347	223	human gut metagenome	ILLUMINA	2015-03-14	SRR1915937	SRS871277	SRP056054	PRJNA231909.3112360		WGS	C2DWNACXX				SL-HEL	8		WholeGenomeShotgun	PDO-1770	P-WG-0004	C2DWN.8	C2DWNACXX130830	130830_SL-HEL_0088_BFCC2DWNACXX					37544
WGS		202	PRJNA231909	SAMN03398856		BI	public	bam run.ga_realign run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX999440		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266045	2015-04-17	366	231	human gut metagenome	ILLUMINA	2015-04-17	SRR1980342	SRS871277	SRP056054	PRJNA231909.3112360		WGS	D2F1CACXX				SL-HEC	6		WholeGenomeShotgun	PDO-1770	P-WG-0004	D2F1C.6	D2F1CACXX130830	130830_SL-HEC_0056_AFCD2F1CACXX					37544
WGS		202	PRJNA231909	SAMN03398856		BI	public	bam run.ga_realign run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX999440		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266045	2015-04-17	358	226	human gut metagenome	ILLUMINA	2015-04-17	SRR1980356	SRS871277	SRP056054	PRJNA231909.3112360		WGS	D2F1CACXX				SL-HEC	7		WholeGenomeShotgun	PDO-1770	P-WG-0004	D2F1C.7	D2F1CACXX130830	130830_SL-HEC_0056_AFCD2F1CACXX					37544
WGS		202	PRJNA231909	SAMN03398856		BI	public	bam run.ga_realign run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX999440		200	Illumina HiSeq 2000	PAIRED	RANDOM	METAGENOMIC	Pond-266045	2015-04-17	361	227	human gut metagenome	ILLUMINA	2015-04-17	SRR1980375	SRS871277	SRP056054	PRJNA231909.3112360		WGS	D2F1CACXX				SL-HEC	8		WholeGenomeShotgun	PDO-1770	P-WG-0004	D2F1C.8	D2F1CACXX130830	130830_SL-HEC_0056_AFCD2F1CACXX					37544
AMPLICON		350	PRJNA231909	SAMN03398857		BI	public	bam run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX951055		350	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Solexa-158097	2015-03-10	7	4	human gut metagenome	ILLUMINA	2015-03-10	SRR1909399	SRS871278	SRP056054	PRJNA231909.3107564		16S	A2RDP				SL-MAL	1		16S	PDO-1124	P-MCV-0002	A2RDP.1	A2RDP130513	130513_SL-MAL_0066_FC000000000-A2RDP					36374
AMPLICON		350	PRJNA231909	SAMN03398858		BI	public	bam run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX951057		350	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Solexa-157352	2015-03-10	114	65	human gut metagenome	ILLUMINA	2015-03-10	SRR1909401	SRS871279	SRP056054	PRJNA231909.3000088		16S	A3L91				SL-MAL	1		16S	PDO-1154	P-MCV-0002	A3L91.1	A3L91130510	130510_SL-MAL_0065_FC000000000-A3L91					36413
AMPLICON		350	PRJNA231909	SAMN03398859		BI	public	bam run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX951056		350	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Solexa-157995	2015-03-10	5	3	human gut metagenome	ILLUMINA	2015-03-10	SRR1909402	SRS871280	SRP056054	PRJNA231909.3103664		16S	A2RDP				SL-MAL	1		16S	PDO-1124	P-MCV-0002	A2RDP.1	A2RDP130513	130513_SL-MAL_0066_FC000000000-A2RDP					36373
AMPLICON		350	PRJNA231909	SAMN03398860		BI	public	bam run.zq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX951058		350	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	Solexa-156212	2015-03-10	12	8	human gut metagenome	ILLUMINA	2015-03-10	SRR1909403	SRS871281	SRP056054	PRJNA231909.3119796		16S	A3RE3				SL-MAB	1		16S	PDO-1090	P-MCV-0002	A3RE3.1	A3RE3130430	130430_SL-MAB_0069_FC000000000-A3RE3					36338
